Brand,Paddle Name,Shape,Weight,Swing Weight,Twist Weight,Thickness,Amount off,Discount link,Review
Holbrook,Mav,Elongated,7.9,118.43,6.49,16,15%,https://holbrookpickleball.com/?sca_ref=7538133.2fMoiC3Vz2&utm_source=7538133&utm_medium=austin-hardy&utm_campaign=172645&utm_term=Youtubers-/-Large-influencers,
Joola,Pro V Perseus,Elongated,8.1,116.29,6.35,16,15%,https://lockerroompickleball.com/search?q=Joola&options%5Bprefix%5D=last&sca_ref=8334840.yY4rLJi7oU9HDNHD,https://youtu.be/gRU_Zwn2iwQ
Joola,3S Dual Perseus,Elongated,8.2,116.56,6.10,16,15%,https://lockerroompickleball.com/search?q=Joola&options%5Bprefix%5D=last&sca_ref=8334840.yY4rLJi7oU9HDNHD,
Maverix,Havik Pro X,Hybrid,8.2,116.91,6.47,15,15%,https://www.maverixpickleball.com/discount/playbook,
Maverix,Havik Pro,Hybrid,8.0,116.46,6.33,15,15%,https://www.maverixpickleball.com/discount/playbook,
Mint,Mon Ami,Elongated,8.7,123.47,6.16,18,15%,https://mintsport.com/collections/mint-pickleball-paddles?sca_ref=10800740.Q8rJ5uKMTgrc,https://youtu.be/JvXTRzAdNp8
Mint,Megalodon,Elongated,8.4,112.41,6.04,20,15%,https://mintsport.com/collections/mint-pickleball-paddles?sca_ref=10800740.Q8rJ5uKMTgrc,https://youtu.be/JvXTRzAdNp8
Mint,Maestro,Elongated,9.1,123.23,6.17,20,15%,https://mintsport.com/collections/mint-pickleball-paddles?sca_ref=10800740.Q8rJ5uKMTgrc,https://youtu.be/JvXTRzAdNp8
Nox,JMA,Hybrid,8.2,109.66,6.54,16,15%,https://noxsportusa.com/collections/pickleball-paddles?sca_ref=10898288.A7iWhYAIh32,
Nox,JC6,Elongated,8.1,114.68,6.06,16,15%,https://noxsportusa.com/collections/pickleball-paddles?sca_ref=10898288.A7iWhYAIh32,
Paddletek,Tempest Wave Pro-C,Widebody,8.0,110.24,7.17,14.3,,,
Ronbus,Quanta R3,Elongated,7.8,115.40,5.74,16,$20,www.ronbus.com/discount/PLAYBOOK,https://youtu.be/8Cnc0_BBXjc
Ronbus,Quanta R4,Hybrid,7.6,105.00,5.75,16,$20,www.ronbus.com/discount/PLAYBOOK,https://youtu.be/8Cnc0_BBXjc
Selkirk,Project 006,Hybrid,8.8,118.49,5.93,16,$0,https://www.selkirk.com/discount/inf-playbook,
Selkirk,Project 007 Invikta,Elongated,8.2,117.47,5.85,14,$0,https://www.selkirk.com/discount/inf-playbook,
Slelkirk,Project 008 Tour,Hybrid,7.9,112.87,5.35,16,$0,https://www.selkirk.com/discount/inf-playbook,
Slelkirk,Project 008 Tour,Hybrid,7.9,110.63,5.44,13,$0,https://www.selkirk.com/discount/inf-playbook,
Selkirk,LUXX,Elongated,7.7,116.94,5.71,20,$0,https://lockerroompickleball.com/search?q=Selkirk&options%5Bprefix%5D=last&sca_ref=8334840.yY4rLJi7oU9HDNHD,
Selkirk,LUXX Jack Sock,Elongated,7.9,116.28,5.82,20,$0,https://lockerroompickleball.com/search?q=Selkirk&options%5Bprefix%5D=last&sca_ref=8334840.yY4rLJi7oU9HDNHD,
Selkirk,Power Air Epic,Hybrid,7.7,103.21,5.97,13,$0,https://www.selkirk.com/discount/inf-playbook,
Selkirk,Power Air Invikta,Elongated,8.1,112.82,5.58,13,$0,https://www.selkirk.com/discount/inf-playbook,
Selkirk,Vanguard Control,Elongated,7.6,115.29,5.51,16,$0,https://www.selkirk.com/discount/inf-playbook,
Selkirk,Amped Pro Air Invikta,Elongated,7.7,114.05,5.71,16,$0,https://www.selkirk.com/discount/inf-playbook,
Selkirk,Amped Control Invikta,Elongated,8.1,115.43,5.79,16,$0,https://www.selkirk.com/discount/inf-playbook,
Selkirk,Amped S2,Widebody,7.7,97.68,6.46,16,$0,https://www.selkirk.com/discount/inf-playbook,
SLK,Nexus Max,Elongated,7.6,109.22,6.48,13,$0,https://www.selkirk.com/discount/inf-playbook,
SLK,Halo Pro,Elongated,7.9,118.32,5.83,14,$0,https://www.selkirk.com/discount/inf-playbook,
SLK,Halo Control,Elongated,7.9,117.51,5.68,16,$0,https://www.selkirk.com/discount/inf-playbook,
SLK,EVO Control XL,Elongated,7.5,113.76,5.93,16,$0,https://www.selkirk.com/discount/inf-playbook,
SLK,EVO Power XL,Elongated,7.9,113.68,5.64,13,$0,https://www.selkirk.com/discount/inf-playbook,
SLK,Latitude Max,Elongated,7.6,102.45,6.47,16,$0,https://www.selkirk.com/discount/inf-playbook,
Volair,Mach 1 Forza,Hybrid,8.1,117.27,6.37,16,10%,http://volair.com/discount/playbook,
